,date,location,C8_International travel controls,residential_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,C8_International travel controls_high,C8_International travel controls_low,residential_percent_change_from_baseline_high,residential_percent_change_from_baseline_low,grocery_and_pharmacy_percent_change_from_baseline_high,grocery_and_pharmacy_percent_change_from_baseline_low
86,2020-11-15,Peru,-3.0,15.770491803278688,-36.74603174603175,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
87,2020-11-15,Philippines,-2.0,12.846153846153847,-20.884615384615383,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
88,2020-11-15,Papua New Guinea,0.0,1.0,22.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
89,2020-11-15,Poland,-3.0,5.075,-9.836363636363636,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
90,2020-11-15,Puerto Rico,-3.0,7.75,-18.37837837837838,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
91,2020-11-15,Portugal,0.0,16.096774193548388,-40.75268817204301,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
92,2020-11-15,Paraguay,-3.0,10.571428571428571,-25.857142857142858,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
93,2020-11-15,Qatar,0.0,4.5,22.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
94,2020-11-15,Romania,-3.0,1.7468354430379747,-0.11428571428571428,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
95,2020-11-15,Russia,0.0,1.2941176470588236,-1.588235294117647,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
96,2020-11-15,Rwanda,-4.0,14.5,-22.6,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
97,2020-11-15,Saudi Arabia,0.0,6.785714285714286,-9.857142857142858,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
98,2020-11-15,Senegal,-3.0,1.25,-3.25,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
99,2020-11-15,Singapore,0.0,10.0,-5.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
100,2020-11-15,El Salvador,-1.0,3.375,-3.125,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
101,2020-11-15,Serbia,-1.0,1.5,-5.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
102,2020-11-15,Slovenia,-2.0,11.0,-90.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
103,2020-11-15,Sweden,0.0,5.4,-13.011363636363637,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
104,2020-11-15,Togo,-2.0,10.0,10.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
105,2020-11-15,Thailand,-3.0,-1.0,6.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
106,2020-11-15,Tajikistan,0.0,5.0,-3.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
107,2020-11-15,Trinidad and Tobago,0.0,3.0,4.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
108,2020-11-15,Turkey,-1.0,4.302721088435374,4.474025974025974,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
109,2020-11-15,Taiwan,-3.0,-1.0,9.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
110,2020-11-15,Tanzania,-1.0,2.7,-18.454545454545453,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
111,2020-11-15,Uganda,0.0,8.666666666666666,-6.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
112,2020-11-15,Ukraine,0.0,2.5,-10.5,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
113,2020-11-15,Uruguay,-3.0,7.363636363636363,-10.461538461538462,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
114,2020-11-15,United States,-3.0,4.234501347708895,-5.495305164319249,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
115,2020-11-15,Venezuela,-4.0,11.0,-3.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
116,2020-11-15,Vietnam,-3.0,-8.746031746031745,-7.258064516129032,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
117,2020-11-15,Yemen,0.0,3.0,44.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
118,2020-11-15,South Africa,-2.0,8.1,-6.7,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
119,2020-11-15,Zambia,-1.0,5.0,6.0,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
120,2020-11-15,Zimbabwe,-2.0,5.0,13.75,-4.0,0.0,24.0,-8.746031746031745,55.5,-90.0
