Country,Date,Sentiment Score,Positive,Negative
JP,2020-03-31,-0.02124999999999999,2,2
NG,2020-03-31,0.14346433902777775,32,4
GB,2020-03-31,0.12734357283928568,51,5
SI,2020-03-31,-0.025,1,1
US,2020-03-31,0.14070207204897964,214,31
NL,2020-03-31,0.1240833334,8,2
CN,2020-03-31,-0.036111111,1,2
BS,2020-03-31,-0.0604166665,1,1
AE,2020-03-31,0.14907407416666665,5,1
SA,2020-03-31,-0.025,1,1
IE,2020-03-31,0.17227272720000003,4,1
ZA,2020-03-31,0.12665277777777778,14,4
SE,2020-04-01,0.0,2,1
BS,2020-04-01,0.08333333350000002,1,1
FR,2020-04-01,-0.09088541666666666,2,1
TZ,2020-04-01,0.12187500000000001,1,1
ZA,2020-04-01,0.07823350693333332,12,3
IN,2020-04-01,0.1409954240476191,67,17
PH,2020-04-01,-0.08333333333333333,2,1
GB,2020-04-01,0.09979393803703704,47,7
NG,2020-04-01,0.1793057300645161,26,5
CA,2020-04-01,0.1184848485,9,1
ES,2020-04-01,-0.4,1,1
MY,2020-04-01,0.157121212,2,1
US,2020-04-01,0.12565488132706765,230,36
IT,2020-04-01,0.0509375,3,1
DE,2020-04-01,0.058928571374999995,7,1
JP,2020-04-01,0.14675925899999998,2,1
NL,2020-04-01,0.006963442333333332,5,4
ZA,2020-04-02,0.1875,11,1
DE,2020-04-02,0.05508297260000001,12,3
US,2020-04-02,0.13482504053873232,251,33
JP,2020-04-02,0.32718098949999996,3,1
SE,2020-04-02,0.3,7,1
AU,2020-04-02,0.21105549528571427,13,1
IT,2020-04-02,0.37083333350000003,1,1
GR,2020-04-02,0.10520833350000003,1,1
IN,2020-04-02,0.2208333438255814,78,8
NG,2020-04-02,0.18776124341666664,21,3
NL,2020-04-02,0.19840136057142857,6,1
BR,2020-04-02,0.0,3,2
ES,2020-04-02,-0.023809523857142856,3,4
CA,2020-04-02,0.22982233045,18,2
GB,2020-04-02,0.08340985610389608,62,15
TH,2020-04-02,-0.0523809525,1,1
CA,2020-04-03,0.17979619314285716,11,3
ES,2020-04-03,0.09722222233333333,2,1
IE,2020-04-03,0.02272727266666667,5,1
JP,2020-04-03,-0.1416666665,1,1
DE,2020-04-03,0.04249267055555555,7,2
BE,2020-04-03,-0.353125,1,1
UG,2020-04-03,-0.002499999999999991,4,1
NL,2020-04-03,0.013690476285714277,4,3
